日期,金额,支付通道,说明
2025-12-24,-1.8,微信,共享单车
2025-12-24,-1.0,微信,早餐
2025-12-24,-3.0,微信,打印资料
2025-12-24,-13.0,微信,晚餐
2025-12-24,-32.3,支付宝,零食饮料
2025-12-25,-3.0,微信,早餐
2025-12-26,-1.0,微信,早餐
2025-12-26,-8.5,微信,买面条
2025-12-26,-17.03,微信,买菜
2025-12-26,-15.39,微信,买肉
2025-12-27,-283.8,微信,还学费
2025-12-27,-1.71,微信,打水
2025-12-27,-4.9,支付宝,买玉米淀粉
2025-12-28,-29.5,微信,买菜
2025-12-28,-21.8,白条,买U盘
2025-12-28,-26.47,支付宝,买菜
2025-12-28,-13.26,支付宝,买菜
2025-12-28,-33.0,支付宝,买菜
2025-12-29,-3.0,微信,早餐
2025-12-29,-15.0,微信,bilibili充电
2025-12-30,-21.9,支付宝,午餐
2025-12-30,-9.42,支付宝,打车
2025-12-30,-3.0,微信,早餐
2025-12-30,-3.5,微信,打印资料
2025-12-30,-12.52,支付宝,打车
2025-12-30,-22.9,支付宝,晚餐
2025-12-30,-9.96,支付宝,打车
2025-12-31,-30.6,白条,买速写本和厨房用品
2025-12-31,-3.0,微信,早餐
2025-12-31,-2.96,微信,买丝瓜络
2025-12-31,-21.18,微信,买肉
2026-01-01,-40.0,微信,文创店买东西
2026-01-01,-55.0,微信,文创店买东西
2026-01-01,-17.33,支付宝,打车
2026-01-01,-15.12,支付宝,打车
2026-01-01,-64.5,支付宝,打车
2026-01-01,-35.0,微信,高速费
2026-01-04,-3.0,微信,早餐
2026-01-04,-34.25,白条,买衣服
2026-01-05,-68.5,白条,京东买衣服
2026-01-05,-69.9,白条,买洗面奶
2026-01-05,-3.0,微信,早餐
2026-01-05,-1700.0,微信,1月房租
2026-01-06,-143.08,白条,京东买衣服
2026-01-06,-1.0,微信,早餐
2026-01-06,-3.65,微信,pdd买扫把
2026-01-06,-13.0,支付宝,晚餐
2026-01-06,-10.25,支付宝,零食饮料
2026-01-06,-69.39,支付宝,投资积存金亏损
2050-10-10,-3.0,微信,早餐
2050-10-10,-3.0,微信,早餐
